source	reference	sentA	sentB	modification_type	sentA_sem_changed
Residents are now being told it will be hours until they are allowed back in.	De Bewohner wird jetz mitteilt, dass es Stunde gah chan, bis sie wieder inetörfed.	De Awohner wird jetzt gseit, dass es Stunde duured, bis sie wieder drii dörfed.	De Ahwohner wird jetzt gseit, dasses Stunde gah wird, bis si wider here dörfed.	deletion	De Awohner wird jetzt gseit, dass es duured, bis sie wieder drii dörfed.
She keeps repeating 'it's so awful'.	Sie wiederhole immer wieder "Es isch so schrecklich".	Si seit imer wider: "Es isch so furchtbar."	Sie wiederholt immer wieder, „das isch so furchtbar“.	substitution	Si seit imer wider: "Es isch so genial."
Flake was the central figure in Friday's drama.	De Flake isch die zentrali Figur i dem Drama vom Fritig gsi.	Flake isch d'Zentralfigur im Drama vom Fritig gsi.	Flake isch di zentrali Figur im Drama am Fritig gsi.	insertion	Flake isch nöd d'Zentralfigur im Drama vom Fritig gsi.
"Do you think he's telling the truth to the country?	"Glaubed Sie, dass er am Land d Wahrheit sait?	«Glaubsch du, dass er am Land d Wahrheit seit?	"Denksch er verzellt d Wahrheit zum Land?	substitution	«Glaubsch du, dass er am Vater d Wahrheit seit?
"Do you think he's telling the truth to the country?	"Glaubed Sie, dass er am Land d Wahrheit sait?	«Glaubsch du, dass er am Land d Wahrheit seit?	"Glaubsch, dass er am Land d Wahrheit seit?	substitution	«Glaubsch du, dass er am Land d Lüg seit?
"Do you think he's telling the truth to the country?	"Glaubed Sie, dass er am Land d Wahrheit sait?	"Denksch er verzellt d Wahrheit zum Land?	"Glaubsch, dass er am Land d Wahrheit seit?	substitution	"Denksch er waiss d Wahrheit zum Land?
Volcano spews ash on Mexico City	En Vulkan spuckt Asche über Mexiko-Stadt	Vulkan spit Asche uf Mexiko-Stadt	Vulkan speit Asche uf Mexiko-Stadt.	substitution	Vulkan spit Asche ufde Golf vo Mexiko
The volcano known as "Don Goyo" has been active since 1994.	De Vulkan, wo als "Don Goyo" bekannt isch, isch sit 1994 aktiv.	De Vulkan "Don Goyo" isch sit 1994 aktiv.	De als "Don Goyo" bekannte Vulkan isch sit 1994 aktiv.	insertion	De Vulkan "Don Goyo" isch sit 1994 nümm aktiv.
BBC Scotland's Alasdair Lamont at the Tony Macaroni Arena	Alasdait Lamont vo BBC Scotland i de Tony Macaroni Arena	De Alasdair Lamont vo BBC Scotland i de Tony Macaroni Arena	Alasdair Lamont vo BBC Scotland i de Tony Macaroni Arena	deletion	De Alasdair Lamont vo BBC i de Tony Macaroni Arena
He had so many heroes.	Er hett so viel Helde gka.	Er hät so vill Helde gha.	Er het so vill Helde gha.	deletion	Er hät vill Helde gha.
As good as they have been at times under Gerrard, they fell well short of those standards.	So guet wie sie zitewiis unter Gerrard gsi sind, sind sie wiit hinter de Standards zruggbliebe.	So guet si zitwis unterem Gerrard au gsi sind, de Standard händs nöd chöne erreiche	So guet si mängisch unterem Gerrard gsi sind, si sind wit hinter dene Standards zruggblibe	deletion	So guet si zitwis unterem Gerrard au gsi sind, de Standard händs chöne erreiche
They've fallen out over issues including human rights, press freedom and Turkey's accession to the EU.	Sie sind bezüglich de Themene wie Mänscherächt, Prässefreiheit und em EU-Bitritt vo de Türkei zerstritte.	Sie stritten sich über Themene wie Menscherecht, Pressefreiheit und de EU Biitritt vo de Türkei.	Si händ sich über Themene gstritte wie Menscherecht, Pressefreiheit und de EU Bitritt vode Türkei	substitution	Sie unterhalted sich über Themene wie Menscherecht, Pressefreiheit und de EU Biitritt vo de Türkei.
The city is home to the largest Turkish population outside Turkey.	Die Stadt isch d Diheime vo de grösste türkische Population usserhalb vo de Türkei.	D Stadt isch d Heimat vode gröste türkische Bevölkerig usserhalb vode Türkei.	D Stadt isch die Heimat vo de gröschte türkische Bevölkerig usserhalb vo de Türkei.	deletion	D Stadt isch d Heimat vode gröste türkische Bevölkerig vode Türkei.
Deptford road crash: Cyclist dies in collision with car	Verchehrsunfall bi Deptford	Strassenunfall in Deptford: Velofahrer stirbt bi Kollision mit Auto	Verkehrsunfall in Deptforder: Radfahrer stirbt bi Zämmestoß mit Auto	deletion	Strassenunfall in Deptford: Velofahrer stirbt bi Kollision
Deptford road crash: Cyclist dies in collision with car	Verchehrsunfall bi Deptford	Strassenunfall in Deptford: Velofahrer stirbt bi Kollision mit Auto	Strosseunfall in Deptford: Radfahrer stirbt bi Kollision mit Auto	insertion	Strassenunfall in Deptford: Velofahrer stirbt fast bi Kollision mit Auto
Deptford road crash: Cyclist dies in collision with car	Verchehrsunfall bi Deptford	Strassenunfall in Deptford: Velofahrer stirbt bi Kollision mit Auto	Verchersunfall in Deptford: Velofahrer stirbt bi Zämestoss mit Auto	deletion	Strassenunfall in Deptford: Kollision mit Auto
Deptford road crash: Cyclist dies in collision with car	Verchehrsunfall bi Deptford	Strassenunfall in Deptford: Velofahrer stirbt bi Kollision mit Auto	Verkehrsunfall in Deptford: Radfahrer stirbt bi Zämestoss mit Auto	substitution	Strassenunfall in Deptford: Velofahrer überlebt Kollision mit Auto
Deptford road crash: Cyclist dies in collision with car	Verchehrsunfall bi Deptford	Verkehrsunfall in Deptforder: Radfahrer stirbt bi Zämmestoß mit Auto	Strosseunfall in Deptford: Radfahrer stirbt bi Kollision mit Auto	deletion	Verkehrsunfall in Deptforder: Radfahrer stirbt
Deptford road crash: Cyclist dies in collision with car	Verchehrsunfall bi Deptford	Verkehrsunfall in Deptforder: Radfahrer stirbt bi Zämmestoß mit Auto	Verchersunfall in Deptford: Velofahrer stirbt bi Zämestoss mit Auto	substitution	Verkehrsunfall in Deptforder: Radfahrer stirbt bi Zämmestoß mit Fuessgänger
Deptford road crash: Cyclist dies in collision with car	Verchehrsunfall bi Deptford	Verkehrsunfall in Deptforder: Radfahrer stirbt bi Zämmestoß mit Auto	Verkehrsunfall in Deptford: Radfahrer stirbt bi Zämestoss mit Auto	deletion	in Deptforder: Radfahrer stirbt bi Zämmestoß mit Auto
Deptford road crash: Cyclist dies in collision with car	Verchehrsunfall bi Deptford	Strosseunfall in Deptford: Radfahrer stirbt bi Kollision mit Auto	Verchersunfall in Deptford: Velofahrer stirbt bi Zämestoss mit Auto	deletion	Strosseunfall: Radfahrer stirbt bi Kollision mit Auto
Deptford road crash: Cyclist dies in collision with car	Verchehrsunfall bi Deptford	Strosseunfall in Deptford: Radfahrer stirbt bi Kollision mit Auto	Verkehrsunfall in Deptford: Radfahrer stirbt bi Zämestoss mit Auto	deletion	Radfahrer stirbt bi Kollision mit Auto
Deptford road crash: Cyclist dies in collision with car	Verchehrsunfall bi Deptford	Verchersunfall in Deptford: Velofahrer stirbt bi Zämestoss mit Auto	Verkehrsunfall in Deptford: Radfahrer stirbt bi Zämestoss mit Auto	insertion	Verchersunfall in Deptford: Velofahrer stirbt nöd bi Zämestoss mit Auto
A cyclist has died in a collision involving a car in London.	En Velofahrer isch binere Kollision mit eme Auto in London gstorbe.	Bimene Zämestoß mit eme Auto isch in London en Radfahrer ums Läbe choo.	Bimne Zämestoss miteme Auto isch in London en Velofahrer ums Läbe cho.	insertion	Bimene unglaubliche Zämestoß mit eme Auto isch in London en Radfahrer ums Läbe choo.
A cyclist has died in a collision involving a car in London.	En Velofahrer isch binere Kollision mit eme Auto in London gstorbe.	Bimene Zämestoß mit eme Auto isch in London en Radfahrer ums Läbe choo.	Bimene Zämmestoss mit em Auto isch in London en Radfahrer ums Läbe cho.	substitution	Bimene Zämestoß mit eme Flugzüg isch in London en Radfahrer ums Läbe choo.
A cyclist has died in a collision involving a car in London.	En Velofahrer isch binere Kollision mit eme Auto in London gstorbe.	Bimene Zämestoß mit eme Auto isch in London en Radfahrer ums Läbe choo.	En Radfahrer isch bimene Zämestoss mit eme Auto in London ums Läbe cho.	insertion	Bimene unnötige Zämestoß mit eme Auto isch in London en Radfahrer ums Läbe choo.
A cyclist has died in a collision involving a car in London.	En Velofahrer isch binere Kollision mit eme Auto in London gstorbe.	Bimene Zämestoß mit eme Auto isch in London en Radfahrer ums Läbe choo.	En Radfahrer isch bime Zämestoss mit eme Auto in London ums Läbe cho.	substitution	Bimene Zämestoß mit eme Auto isch in Paris en Radfahrer ums Läbe choo.
A cyclist has died in a collision involving a car in London.	En Velofahrer isch binere Kollision mit eme Auto in London gstorbe.	Bimne Zämestoss miteme Auto isch in London en Velofahrer ums Läbe cho.	Bimene Zämmestoss mit em Auto isch in London en Radfahrer ums Läbe cho.	deletion	Bimne Zämestoss isch in London en Velofahrer ums Läbe cho.
A cyclist has died in a collision involving a car in London.	En Velofahrer isch binere Kollision mit eme Auto in London gstorbe.	Bimne Zämestoss miteme Auto isch in London en Velofahrer ums Läbe cho.	En Radfahrer isch bimene Zämestoss mit eme Auto in London ums Läbe cho.	deletion	Bimne Zämestoss miteme Auto isch in London en Velofahrer cho.
A cyclist has died in a collision involving a car in London.	En Velofahrer isch binere Kollision mit eme Auto in London gstorbe.	Bimne Zämestoss miteme Auto isch in London en Velofahrer ums Läbe cho.	En Radfahrer isch bime Zämestoss mit eme Auto in London ums Läbe cho.	substitution	Bimne Zämestoss miteme Auto isch in London en Radfahrer ums Vermöge cho.
A cyclist has died in a collision involving a car in London.	En Velofahrer isch binere Kollision mit eme Auto in London gstorbe.	Bimene Zämmestoss mit em Auto isch in London en Radfahrer ums Läbe cho.	En Radfahrer isch bimene Zämestoss mit eme Auto in London ums Läbe cho.	insertion	Bimene Zämmestoss mit em Auto isch in London en ehemalige Radfahrer ums Läbe cho.
A cyclist has died in a collision involving a car in London.	En Velofahrer isch binere Kollision mit eme Auto in London gstorbe.	Bimene Zämmestoss mit em Auto isch in London en Radfahrer ums Läbe cho.	En Radfahrer isch bime Zämestoss mit eme Auto in London ums Läbe cho.	insertion	Bimene Zämmestoss mit em sälbstfaarende Auto isch in London en Radfahrer ums Läbe cho.
A cyclist has died in a collision involving a car in London.	En Velofahrer isch binere Kollision mit eme Auto in London gstorbe.	En Radfahrer isch bimene Zämestoss mit eme Auto in London ums Läbe cho.	En Radfahrer isch bime Zämestoss mit eme Auto in London ums Läbe cho.	deletion	En Radfahrer isch in London ums Läbe cho.
The latest National Hurricane Center models predict 2 to 4 inches of rainfall, with isolated amounts up to 6 inches in the Mogollon Rim of Arizona.	Die neuste Modäll vom National Hurricane Center tüend Neiderschlagmängene vo zwei bis vier Zoll voruus, mit vereinzelte Mängene vo bis zu 6 Zoll im Mongollon Rim vo Arizona.	Die neuste Modell vom National Hurricane Center prognostizieret 5 bis 10 Zentimeter Niderschlag mit vereinzlet bis zu 15 Santimeter im Mogollon Rim vo Arizona.	Di neuste Modäll vom National Hurricane Center säged 2 bis 4 Zoll Niderschlag vorus, mit vereinzelte Mänge bis zu 6 Zoll im Mogollon Rim vo Arizona.	deletion	Die neuste Modell vom National Hurricane Center prognostizieret 5 bis 10 Zentimeter Niderschlag mit 15 Santimeter im Mogollon Rim vo Arizona.
I'm not running, but I'm really running," he said.	Ich tu nöd kandidiere, aber ich bi würkli am Ränne", hett er gsait.	Ich träte nöd aa, aber in Würklichkeit trete ich aa", hät er gseit.	Ich lauf nöd, aber ich lauf würkli", hetter gseit.	substitution	Ich träte sicher aa, aber in Würklichkeit trete ich aa", hät er gseit.
It Is Very Bad.	Es isch sehr schlächt.	Es isch sehr schlächt.	Es isch sehr schlimm.	deletion	Es isch schlächt.
It is very bad.	Es isch sehr schlächt.	Es isch sehr schlimm.	Es isch huere schlimm.	substitution	Es isch nöd schlimm.
That has not happened yet.	Das isch noni passiert.	Das isch nanig passiert.	Das isch nonig passiert.	substitution	Das isch scho passiert.
That has not happened yet.	Das isch noni passiert.	Das isch nanig passiert.	Das isch na nöd gscheh.	substitution	Das isch nanig planet.
That has not happened yet.	Das isch noni passiert.	Das isch nanig passiert.	Das isch bis jetzt nöd passiert.	substitution	Öppis positivers isch nanig passiert.
That has not happened yet.	Das isch noni passiert.	Das isch nonig passiert.	Das isch na nöd gscheh.	deletion	Das isch passiert.
That has not happened yet.	Das isch noni passiert.	Das isch nonig passiert.	Das isch bis jetzt nöd passiert.	substitution	Das isch auscho passiert.
That has not happened yet.	Das isch noni passiert.	Das isch na nöd gscheh.	Das isch bis jetzt nöd passiert.	deletion	Das isch na gscheh.
Anyone with information about their identities should contact Newport police at 859-292-3680.	Jede, wo Informatione zu ihrne Identitäte hett, sött d Polizei unter 859-292-3680 kontaktiere.	Jede wo Informatione über sini Identität hät sötti Newport Polizei unter 859-292-3680 kontaktiere.	Lüt wo über Informatione zur Identität vode Verdächtige verfüeged werded bäte, sich unter 859-292-3680 ad Polizei vo Newport z’ wände.	deletion	Jede wo Informatione hät sötti Newport Polizei unter 859-292-3680 kontaktiere.
The Argentine striker received a pass at midfield at the start of the sequence.	De argentinischi Stürmer hettt am Afang vo de Sequänz en Pass vom Mittelfäld becho.	De argentinischi Stürmer hät am Ahfang vode Sequenz en Pass im Mittelfeld übercho.	De argentinisch Stürmer het zum Afang vo de Sequänz en Pass im Mittelfäld übercho.	deletion	De argentinischi Stürmer hät en Pass im Mittelfeld übercho.
That's what happened.	Das isch das, wo passiert isch.	Das isch passiert.	Das isch es, was passiert isch.	insertion	Das isch gester passiert.
That's what happened.	Das isch das, wo passiert isch.	Das isch passiert.	Das isch gscheh.	insertion	Das unglaubliche isch passiert.
That's what happened.	Das isch das, wo passiert isch.	Das isch es, was passiert isch.	Das isch gscheh.	substitution	Müesam isch es, was passiert isch.
We were lucky he scored a goal in that moment."	Mier händ Glück gka, dass er i dem Mömänt es Goal gschosse hett.	Mir händ Glück gha, dass er i dem Moment es Goal erzielt hät.»	Mir händ Glück gha, dass er i dem Moment es Goal gschosse hät.»	deletion	Mir händ Glück gha, dass er es Goal erzielt hät.»
Uh, uh, what.	Äh, äh, was.	Uh, was?	Äh, äh, was.	substitution	Uh, wie?
According to official record listings, he is the director of Adriftmorn Limited.	Luut de offizielle Ufzeichnige ischer de Diräktor vo Adriftmorn Limited.	Luut offizielle Iitragige isch er Gschäftsfüehrer vo Adriftmorn Limited.	Luut offizielle Uufzeichnig isch er de Diräkter vo Adriftmorn Limited.	substitution	Luut inoffizielle Iitragige isch er Gschäftsfüehrer vo Adriftmorn Limited.
Sailors patrol a rigging-clad naval headquarters in La Paz.	Matrose patrouilliered ineme mit Takelage bekleidete Marinehauptquartier in La Paz.	Matrose patrouilliered vor em mit Tauwärch gschmückte Marinehauptquartier in La Paz.	Matrose patruliered vorem mit Tauwerk gschmückte Marinehauptquartier in La Paz.	deletion	Matrose vor em mit Tauwärch gschmückte Marinehauptquartier in La Paz.
This is a powerful reminder that we can't just rely on English when wanting to build relationships and trust with people from other countries.	Das isch en idringlichi Erinnerig dra, dass mer nöd nur uf die änglischi Sprach verlah chönd, wenn mer d Beziehige und s Vertraue zu Mänsche us andere Länder ufbaue wänd.	Das isch en idrucksvolli Erinnerig dra, dass mir eus nöd nur uf Änglisch chönd verlah, wenn mir Beziehige und Vertraue zu Mensche us anderne Länder wend ufbaue.	Das isch e idringlichi Erinnerig dra, dass mer eus ned nur uf Änglisch chönnd verlah, wenn mer Bezühige und Vertraue mit Mensche us anderne Länder wend ufbaue.	substitution	Das isch en idrucksvolli Erinnerig dra, dass mir eus würklich nur uf Änglisch chönd verlah, wenn mir Beziehige und Vertraue zu Mensche us anderne Länder wend ufbaue.
Being able to communicate directly with people from foreign countries will automatically put a multilingual person ahead of the competition.	Wer i de Lag isch, diräkt mit Mänsche us anderne Länder z kommuniziere, hett automatisch en Vorsprung vo de Konkurränz.	Direkt mit Menschen aus anderere Länder kummuniziere z chöne, werdtt mehrschprachige Personen autumatisch e Vorschprung vor Mitbewerber verschaffe.	Direkt mit Mensche us anderne Länder chöne kommuniziere wird mehrsprachige Persone automatisch en Vorsprung vor Mitbewerber verschaffe.	deletion	Direkt mit Menschen kummuniziere z chöne, werdtt mehrschprachige Personen autumatisch e Vorschprung vor Mitbewerber verschaffe.
Indeed, modern languages should really be considered "international communication skills."	Moderni Sprache sötted würkli als "internationali Kommunikationsfähigkeite" agluegt werde.	Tatsächlich sötte moderni Sprache eigentlich als "internationali Kommunikationsfähigkeit" betrachtet werde.	Tatsächlich sötte moderni Sproche würklich als "international Kommunikationsfähigkeite" betrachtet werde.	insertion	Tatsächlich sötte moderni Sprache eigentlich nöd als "internationali Kommunikationsfähigkeit" betrachtet werde.
John Edward is Director of the Scottish Council of Independent Schools	De John Edward isch Diräktor vom Scottish Council of Independent Schools.	John Edward isch Leiter vom Scottish Council of Independent Schools.	John Edward isch Diräkter vom Scottish Council of Independent Schools	insertion	John Edward isch Leiter gsii vom Scottish Council of Independent Schools.
Europe take 10-6 lead into Ryder Cup final day	Europa gaht am letzte Tag vom Ryder Cup mit 10:6 in Führig	Europa gaht 10-6 in Füehrig in Ryder Cup-Finaltag	Europa gaht am letschte Tag vom Ryder Cup mit 10:6 in Füehrig	substitution	Europa gaht 10-6 under in Ryder Cup-Finaltag
He was inspired to start the course after giving a talk on the impact sleep deprivation had on learning.	Er isch für de Kurs inspiriert worde, nachdem er en Vortrag über d Uswürkige vom Schlafentzug ufs Lerne ghalte hett.	Er isch dezue inspiriert worde, de Kurs is Läbe z rüefe, nachdem er en Vortrag über d Uswürkige vo Schlafentzug uf s’Lerne ghalte het.	Er isch dezue inspiriert worde, de Kurs is Läbe zrüefe, nachdem er en Vortrag über d Uswürkige vo Schlafentzug ufs Lerne ghalte hät.	substitution	Er isch dezue zwunge worde, de Kurs is Läbe z rüefe, nachdem er en Vortrag über d Uswürkige vo Schlafentzug uf s’Lerne ghalte het.
They bullied me!	Sie händ mich gmobbt!	Die hend mich gmobbt!	Si händ mi gmobbt!	deletion	Die hend gmobbt!
They bullied me!	Sie händ mich gmobbt!	Die hend mich gmobbt!	Sie hend mi gmobbt!	substitution	Die hend ihn gmobbt!
They bullied me!	Sie händ mich gmobbt!	Si händ mi gmobbt!	Sie hend mi gmobbt!	substitution	Si händ mi gärn!
The incident happened in Ballyhackamore, police said.	De Vorfall hett sich in Ballyhackamore ereignet, hett Polizei mitteilt.	De Vorfall het sich nach Agabe vo de Polizei in Ballyhackamore ereignet.	De Vorfall hät sich nach Ahgabe vode Polizei in Ballyhackamore ereignet.	deletion	De Vorfall het sich in Ballyhackamore ereignet.
The charges will be reviewed by the Public Prosecution Service.	D Aklag wird vo de Staatsawaltschaft überprüeft.	Die Vorwürf werded vo de Staatsawaltschaft überprüeft.	D Vorwürf werded vo de Staatsanwaltschaft überprüeft.	insertion	Die Vorwürf werded vo de Staatsawaltschaft schludrig überprüeft.
About 40,000 new cases were reported in the second quarter of 2018 alone.	Allei im zweite Quartal vo 2018 sind meh als 40000 neui Fäll gmeldet worde.	Elei im zweite Quartal 2018 sind rund 40'000 neui Fäll gmäldet worde.	Elei im zweite Quartal 2018 sind ungefähr 40.000 neui Fäll gmeldet worde.	insertion	Elei im zweite Quartal 2018 sind rund 40'000 neui Fäll nöd gmäldet worde.
About 40,000 new cases were reported in the second quarter of 2018 alone.	Allei im zweite Quartal vo 2018 sind meh als 40000 neui Fäll gmeldet worde.	Elei im zweite Quartal 2018 sind rund 40'000 neui Fäll gmäldet worde.	Elei im zweite Quartal 2018 sind rund 40.000 neui Fäll gmäldet worde.	deletion	Elei im zweite Quartal 2018 sind rund 40'000 gmäldet worde.
About 40,000 new cases were reported in the second quarter of 2018 alone.	Allei im zweite Quartal vo 2018 sind meh als 40000 neui Fäll gmeldet worde.	Elei im zweite Quartal 2018 sind ungefähr 40.000 neui Fäll gmeldet worde.	Elei im zweite Quartal 2018 sind rund 40.000 neui Fäll gmäldet worde.	insertion	Elei im zweite Quartal 2018 sind au ungefähr 40.000 neui Fäll gmeldet worde.
The vast majority of new cases were transmitted through sex, marking a change from the past.	Die überwiegendi Mehrheit vo de neue Fäll isch dur Sex übertrait worde, was e Veränderig gägenüber de Vergangeheit darstellt.	Im Gägesatz zur Vergangeheit het d’Überträgig i de überwiegende Mehrheit vo de neue Fäll dur Gschlächtverchehr stattgfunde.	Die überwiegend Mehrheit vo de Nöierkrankige isch durch Gschlechtsverchehr übertreit worde, was e Veränderig gägenüber de Vergangeheit darstellt.	deletion	Im Gägesatz zur Vergangeheit het d’Überträgig i de neue Fäll dur Gschlächtverchehr stattgfunde.
But the number of people contracting HIV in this way had been reduced to almost zero, Chinese health officials said at a conference in Yunnan province.	Aber d Azahl vo de Lüt, wo sich uf die Art mit HIV infiziered, seg fast uf null reduziert worde, händ chinesischi Gsundheitsbeamti ufnere Konferänz i de Provinz Yunnan gsait.	Die Zahl vo de Mensche, wo sich uf die Wiis mit HIV infizierte, seg aber fast uf Null reduziert worde, gänd chinesischi Gsundheitsbeamte uf ere Konferenz i de Provinz Yunann a.	Aber die Zahl vo de Mensche, wo sich uf die Wiis mit HIV infiziered, seg uf fast Null gsenkt worde, erklärt chinesischi Gsundheitsbeamte uf ere Konferenz i de Provinz Yunnan.	substitution	Die Zahl vo de Mensche, wo sich uf die Wiis mit HIV infizierte, seg aber niemals uf Null reduziert worde, gänd chinesischi Gsundheitsbeamte uf ere Konferenz i de Provinz Yunann a.
Year-on-year, however, the number of those living with HIV and Aids in China has risen by 100,000 people.	Im Verglich zum Vorjahr isch d Zahl vo de Mänsche mit HIV und Aids in China aber um 100000 Mänsche gstiege.	Im Jahresverglich isch d'Zahl vo de Mensche wo mit HIV und Aids lebed, in China aber um 100'000 gstieged.	Im Jahresvergliich isch d Zahl vo de Mänsche, wo mit HIV und Aids läbed, in China aber um 100'000 gstiige.	insertion	Im Jahresverglich isch d'Zahl vo de Mensche wo nöd mit HIV und Aids lebed, in China aber um 100'000 gstieged.
They must not question the motives of the accuser.	Sie törfed d Motiv vom Akläger nöd i Frag stelle.	Si dörfed d Beweggründ vom Ahkläger nöd in Frag stelle.	Si dörfed d Beweggründ vom Aakläger nöd i Frag stelle.	substitution	Si dörfed d Beweggründ vom Verteidiger nöd in Frag stelle.
